station_id,name,lat,lon,elevation,time_zone,local_time_00Z,local_time_12Z,region,n_levels,n00Z,n12Z
USM00070133,Kotzebue,66.9,-162.6,5,-9,15:00,3:00,North America,25,6354,6570
USM00070026,Utqiaġvik,71.3,-156.8,12,-9,15:00,3:00,North America,27,6938,6874
CAM00071957,Inuvik,68.3,-133.5,103,-7,17:00,5:00,North America,19,7123,7079
CAM00071043,Norman Wells,65.3,-126.8,94,-7,17:00,5:00,North America,18,7068,6927
CAM00071925,Cambridge Bay,69.1,-105.1,25,-7,17:00,5:00,North America,20,7162,7098
CAM00071924,Resolute,74.7,-95.0,46,-6,18:00,6:00,North America,19,7105,7016
CAM00071917,Eureka,80.0,-85.9,10,-6,18:00,6:00,North America,19,7218,7230
CAM00071081,Hall Beach,68.8,-81.2,6,-5,19:00,7:00,North America,18,6920,6964
CAM00071082,Alert,82.5,-62.3,65,-5,19:00,7:00,North America,19,7016,7026
GLM00004220,Aasiaat,68.7,-52.9,43,-3,21:00,9:00,Greenland,16,7046,7023
GLM00004360,Tasiilaq,65.6,-37.6,54,-3,21:00,9:00,Greenland,15,6861,6844
GLM00004339,Ittoqqortoormiit,70.5,-22.0,70,-1,23:00,11:00,Greenland,16,7003,6977
GLM00004320,Danmarkshavn,76.8,-18.7,11,0,0:00,12:00,Greenland,17,6311,6364
JNM00001001,Jan Mayen,70.9,-8.7,9,1,1:00,13:00,North Atlantic,17,7044,7038
SVM00001004,Ny-Ålesund,78.9,11.9,16,1,1:00,13:00,North Atlantic,16,385,6911
SVM00001028,Bjornoya,74.5,19.0,20,1,1:00,13:00,North Atlantic,17,7129,7090
FIM00002836,Sodankylä,67.4,26.6,179,2,2:00,14:00,Eurasia,16,7085,7167
RSM00022217,Kandalaksha,67.2,32.4,26,3,3:00,15:00,Eurasia,14,6808,7024
RSM00022271,Shojna,67.9,44.2,5,0,0:00,12:00,Eurasia,14,5004,6444
RSM00023205,Naryan-Mar,67.6,53.0,5,3,3:00,15:00,Eurasia,12,6926,5136
RSM00023415,Pechora,65.1,57.1,56,0,0:00,12:00,Eurasia,14,6685,5167
RSM00023330,Salekhard,66.5,66.7,15,5,5:00,17:00,Eurasia,12,6979,6744
RSM00020674,Ostrov Dikson,73.5,80.4,42,0,0:00,12:00,Eurasia,13,5320,5706
RSM00023472,Turukhansk,65.8,88.0,38,7,7:00,19:00,Eurasia,11,6886,6697
RSM00023078,Norilsk,69.3,88.3,60,7,7:00,19:00,Eurasia,11,6622,6219
RSM00024343,Zhigansk,66.8,123.4,88,9,9:00,21:00,Eurasia,12,6370,4811
RSM00021824,Tiksi,71.6,128.9,6,9,9:00,21:00,Eurasia,13,5087,6806
RSM00024266,Verhojansk,67.6,133.4,136,10,10:00,22:00,Eurasia,12,6922,6889
RSM00021946,Chokurdakh,70.6,147.9,44,11,11:00,23:00,Eurasia,12,5030,6751
RSM00025123,Cherskij,68.8,161.3,32,0,0:00,12:00,Eurasia,13,5704,4976
